Experiment;Structure;Fragment;Species;Date;Green;Survival (%)
MAP;2;2;Porites cylindrica;31-3-2020;107.6240139;10
MAP;2;3;Acropora verweyi;31-3-2020;98.43216307;100
MAP;2;4;Pocillopora verrucose;31-3-2020;185.5556544;100
MAP;2;5;Pocillopora verrucose;31-3-2020;170.6516949;100
MAP;2;6;Acropora verweyi;31-3-2020;85.5347707;100
MAP;2;7;Millepora sp;31-3-2020;168.2680151;90
MAP;2;8;Porites cylindrica;31-3-2020;218.3493381;10
MAP;2;9;Acropora verweyi;31-3-2020;92.12375681;100
MAP;2;10;Millepora sp;31-3-2020;97.60455575;70
MAP;2;11;Porites cylindrica;31-3-2020;168.1226511;100
MAP;2;12;Acropora verweyi;31-3-2020;87.53571843;100
MAP;2;13;Millepora sp;31-3-2020;211.2698056;20
MAP;2;14;Porites cylindrica;31-3-2020;155.7802466;10
MAP;2;15;Pocillopora verrucose;31-3-2020;162.4735382;100
MAP;2;16;Millepora sp;31-3-2020;196.526274;90
MAP;2;1;Pocillopora verrucose;7-4-2020;199.0774225;100
MAP;2;2;Porites cylindrica;7-4-2020;212.2270324;20
MAP;2;3;Acropora verweyi;7-4-2020;141.4895391;100
MAP;2;4;Pocillopora verrucose;7-4-2020;182.5920809;100
MAP;2;5;Pocillopora verrucose;7-4-2020;167.9730093;100
MAP;2;6;Acropora verweyi;7-4-2020;117.5250699;100
MAP;2;7;Millepora sp;7-4-2020;219.1509839;90
MAP;2;8;Porites cylindrica;7-4-2020;;0
MAP;2;9;Acropora verweyi;7-4-2020;142.4154786;100
MAP;2;10;Millepora sp;7-4-2020;58.14181974;10
MAP;2;11;Porites cylindrica;7-4-2020;189.3591073;90
MAP;2;12;Acropora verweyi;7-4-2020;154.1381993;100
MAP;2;13;Millepora sp;7-4-2020;209.8436199;10
MAP;2;14;Porites cylindrica;7-4-2020;188.9412881;10
MAP;2;15;Pocillopora verrucose;7-4-2020;162.3080903;100
MAP;2;16;Millepora sp;7-4-2020;188.9282787;80
MAP;2;1;Pocillopora verrucose;14-4-2020;188.081395;100
MAP;2;2;Porites cylindrica;14-4-2020;208.1839431;20
MAP;2;3;Acropora verweyi;14-4-2020;178.9262924;100
MAP;2;4;Pocillopora verrucose;14-4-2020;189.8051738;90
MAP;2;5;Pocillopora verrucose;14-4-2020;186.7471371;90
MAP;2;6;Acropora verweyi;14-4-2020;151.4645607;100
MAP;2;7;Millepora sp;14-4-2020;221.0661502;90
MAP;2;8;Porites cylindrica;14-4-2020;153.2367318;10
MAP;2;9;Acropora verweyi;14-4-2020;149.2940561;100
MAP;2;10;Millepora sp;14-4-2020;134.9794574;10
MAP;2;11;Porites cylindrica;14-4-2020;202.0476567;80
MAP;2;12;Acropora verweyi;14-4-2020;182.0785089;100
MAP;2;13;Millepora sp;14-4-2020;188.1212242;10
MAP;2;14;Porites cylindrica;14-4-2020;197.4864562;20
MAP;2;15;Pocillopora verrucose;14-4-2020;184.7880486;90
MAP;2;16;Millepora sp;14-4-2020;182.0452455;50
MAP;2;1;Pocillopora verrucose;21-4-2020;173.883262;100
MAP;2;2;Porites cylindrica;21-4-2020;;0
MAP;2;3;Acropora verweyi;21-4-2020;161.2310844;50
MAP;2;4;Pocillopora verrucose;21-4-2020;155.2113863;100
MAP;2;5;Pocillopora verrucose;21-4-2020;161.8476769;80
MAP;2;6;Acropora verweyi;21-4-2020;163.7790519;100
MAP;2;7;Millepora sp;21-4-2020;210.3949603;50
MAP;2;8;Porites cylindrica;21-4-2020;;0
MAP;2;9;Acropora verweyi;21-4-2020;156.4556575;100
MAP;2;10;Millepora sp;21-4-2020;;0
MAP;2;11;Porites cylindrica;21-4-2020;191.2515806;70
MAP;2;12;Acropora verweyi;21-4-2020;129.2513487;100
MAP;2;13;Millepora sp;21-4-2020;;0
MAP;2;14;Porites cylindrica;21-4-2020;181.29786;30
MAP;2;15;Pocillopora verrucose;21-4-2020;160.6042985;90
MAP;2;16;Millepora sp;21-4-2020;136.1777405;60
MAP;2;1;Pocillopora verrucose;5-5-2020;172.8104085;100
MAP;2;2;Porites cylindrica;5-5-2020;;0
MAP;2;3;Acropora verweyi;5-5-2020;158.2910265;100
MAP;2;4;Pocillopora verrucose;5-5-2020;;0
MAP;2;5;Pocillopora verrucose;5-5-2020;173.336762;30
MAP;2;6;Acropora verweyi;5-5-2020;150.6570963;100
MAP;2;7;Millepora sp;5-5-2020;193.3650589;70
MAP;2;8;Porites cylindrica;5-5-2020;;0
MAP;2;9;Acropora verweyi;5-5-2020;;0
MAP;2;10;Millepora sp;5-5-2020;;0
MAP;2;11;Porites cylindrica;5-5-2020;188.3239122;80
MAP;2;12;Acropora verweyi;5-5-2020;143.1593999;90
MAP;2;13;Millepora sp;5-5-2020;;0
MAP;2;14;Porites cylindrica;5-5-2020;166.5102814;20
MAP;2;15;Pocillopora verrucose;5-5-2020;179.6193209;20
MAP;2;16;Millepora sp;5-5-2020;187.2685856;50
MAP;2;1;Pocillopora verrucose;27-5-2020;;0
MAP;2;2;Porites cylindrica;27-5-2020;;0
MAP;2;3;Acropora verweyi;27-5-2020;101.0792659;90
MAP;2;4;Pocillopora verrucose;27-5-2020;;0
MAP;2;5;Pocillopora verrucose;27-5-2020;;0
MAP;2;6;Acropora verweyi;27-5-2020;149.2802164;90
MAP;2;7;Millepora sp;27-5-2020;103.8510566;70
MAP;2;8;Porites cylindrica;27-5-2020;;0
MAP;2;9;Acropora verweyi;27-5-2020;;0
MAP;2;10;Millepora sp;27-5-2020;;0
MAP;2;11;Porites cylindrica;27-5-2020;159.5925645;20
MAP;2;12;Acropora verweyi;27-5-2020;134.7223091;90
MAP;2;13;Millepora sp;27-5-2020;;0
MAP;2;14;Porites cylindrica;27-5-2020;141.7970039;10
MAP;2;15;Pocillopora verrucose;27-5-2020;;0
MAP;2;16;Millepora sp;27-5-2020;70.4768136;30
MAP;2;1;Pocillopora verrucose;24-6-2020;;0
MAP;2;2;Porites cylindrica;24-6-2020;;0
MAP;2;3;Acropora verweyi;24-6-2020;48.60932831;100
MAP;2;4;Pocillopora verrucose;24-6-2020;;0
MAP;2;5;Pocillopora verrucose;24-6-2020;;0
MAP;2;6;Acropora verweyi;24-6-2020;59.03826958;100
MAP;2;7;Millepora sp;24-6-2020;41.03337673;40
MAP;2;8;Porites cylindrica;24-6-2020;;0
